Model,Price,Year,Transmission,Fuel type,City
Opel Astra G,55000,1998,Механика,Бензин + газ,Спитамен
Opel Astra H,86000,2007,Механика,Бензин,Худжанд
Opel Astra F,17500,1993,Механика,Бензин + газ,Вахдат
Opel Zafira,90000,2008,Механика,Бензин + газ,Пенджикент
Opel Vectra B,30000,1996,Механика,Бензин,Худжанд
Opel Astra F,35000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35999,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,80000,2003,Механика,Бензин,Душанбе
Opel Astra J,53000,1999,Механика,Бензин + газ,Истаравшан
Opel Astra F,40000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,26000,1995,Механика,Бензин + газ,Вахш
Opel Vectra B,33000,1998,Механика,Бензин,Душанбе
Opel Vectra B,37000,1996,Механика,Бензин + газ,Ашт
Opel Astra F,33000,1996,Механика,Бензин + газ,Гиссар
Opel Astra F,40000,1997,Механика,Бензин + газ,Гиссар
Opel Astra H,73000,2007,Механика,Бензин,Куляб
Opel Vectra A,7500,1992,Механика,Бензин + газ,Бободжон Гафуров
Opel Vectra A,35000,1995,Механика,Бензин,Нурек
Opel Zafira,87000,2011,Механика,Бензин,Душанбе
Opel Astra H,65000,2008,Механика,Бензин + газ,Спитамен
Opel Astra G,49000,1998,Механика,Бензин + газ,Душанбе
Opel Vectra A,19000,1993,Механика,Бензин + газ,Спитамен
Opel Astra F,23000,1992,Механика,Бензин + газ,Душанбе
Opel Combo,70000,2008,Механика,Бензин,Худжанд
Opel Astra H,57000,2008,Автомат,Бензин + газ,Худжанд
Opel Astra F,30000,1995,Механика,Бензин + газ,Душанбе
Opel Astra G,53000,1998,Механика,Бензин + газ,Куляб
Opel Frontera,40000,1999,Механика,Дизель,Бободжон Гафуров
Opel Astra G,60000,2001,Механика,Бензин,Душанбе
Opel Astra G,64000,1998,Механика,Бензин + газ,Худжанд
Opel Astra G,70000,2000,Механика,Бензин + газ,Истаравшан
Opel Astra F,25000,1992,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra G,55000,1998,Механика,Бензин + газ,Душанбе
Opel Astra G,82000,2002,Механика,Бензин,Душанбе
Opel Astra G,40000,1998,Механика,Бензин + газ,Истаравшан
Opel Astra G,55000,2000,Механика,Бензин + газ,Душанбе
Opel Astra G,59000,1999,Механика,Бензин,Душанбе
Opel Astra F,40000,1993,Механика,Бензин + газ,Джаббор Расулов
Opel Astra F,35000,1996,Механика,Газ,Джалолиддин Балхи (Руми)
Opel Vectra A,26999,1993,Механика,Бензин + газ,Пенджикент
Opel Astra F,49500,1997,Механика,Бензин,Шахритус
Opel Astra G,59000,1999,Механика,Бензин,Душанбе
Opel Vectra B,33000,1996,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,36000,1998,Механика,Бензин + газ,Кабодиён
Opel Vectra A,48000,1995,Механика,Бензин + газ,Исфара
Opel Astra G,49000,1999,Механика,Бензин,Вахш
Opel Astra G,60000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,69500,2001,Автомат,Бензин + газ,Душанбе
Opel Astra G,52000,1999,Механика,Бензин + газ,Куляб
Opel Astra G,49999,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,36000,1997,Механика,Бензин + газ,Гиссар
Opel Astra H,72000,2007,Механика,Дизель,Худжанд
Opel Astra H,59000,2006,Механика,Дизель,Бустон (Чкаловск)
Opel Astra G,67000,2002,Механика,Бензин + газ,Исфара
Opel Astra F,31000,1997,Механика,Бензин + газ,Душанбе
Opel Astra F,40000,1997,Механика,Бензин + газ,Куляб
Opel Astra F,25000,1993,Механика,Бензин + газ,Файзабад
Opel Vectra A,20000,1990,Механика,Бензин + газ,Истаравшан
Opel Astra H,74500,2007,Автомат,Бензин,Худжанд
Opel Vectra B,47000,1999,Механика,Бензин,Гиссар
Opel Astra F,56000,1997,Механика,Бензин,Худжанд
Opel Astra H,66000,2006,Механика,Бензин,Худжанд
Opel Astra F,33000,1996,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Astra H,92000,2007,Автомат,Бензин,Худжанд
Opel Astra H,93000,2007,Механика,Бензин,Худжанд
Opel Astra F,23000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,23500,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,40000,1995,Механика,Бензин + газ,Худжанд
Opel Vectra A,14000,1991,Механика,Бензин + газ,Яван
Opel Vectra A,30000,1995,Механика,Бензин + газ,Яван
Opel Astra H,75000,2006,Механика,Бензин + газ,Душанбе
Opel Astra G,63000,2009,Механика,Бензин,Душанбе
Opel Insignia,85000,2009,Механика,Дизель,Худжанд
Opel Astra G,60000,2001,Механика,Бензин + газ,Темурмалик
Opel Astra G,48500,1999,Механика,Бензин,Душанбе
Opel Astra F,50000,1998,Механика,Бензин,Кабодиён
Opel Zafira,100000,2010,Механика,Бензин + газ,Худжанд
Opel Astra G,59999,1999,Механика,Бензин,Вахдат
Opel Zafira,54000,2006,Автомат,Дизель,Худжанд
Opel Meriva,53000,2006,Механика,Бензин,Душанбе
Opel Astra F,23500,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,46500,1999,Механика,Бензин,Исфара
Opel Astra F,35000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,27000,1992,Механика,Бензин + газ,Истаравшан
Opel Astra F,16000,1993,Механика,Бензин + газ,Шахритус
Opel Vectra A,33000,1995,Механика,Бензин + газ,Душанбе
Opel Astra J,120000,2014,Автомат,Бензин,Худжанд
Opel Astra F,46000,1997,Механика,Бензин,Душанбе
Opel Astra H,85000,2007,Механика,Бензин + газ,Канибадам
Opel Zafira,44000,2007,Механика,Дизель,Худжанд
Opel Zafira,56999,1999,Механика,Бензин + газ,Бустон (Чкаловск)
Opel Zafira,65500,2005,Механика,Бензин,Душанбе
Opel Zafira,44000,2007,Механика,Дизель,Худжанд
Opel Astra F,32000,1993,Механика,Бензин + газ,Худжанд
Opel Zafira,78000,2007,Механика,Бензин + газ,Худжанд
Opel Astra H,88000,2010,Механика,Бензин,Фархор
Opel Astra F,28000,1995,Механика,Бензин,Душанбе
Opel Astra H,77000,2011,Механика,Бензин,Джаббор Расулов
Opel Vectra B,76500,2001,Автомат,Бензин + газ,Спитамен
Opel Astra G,25000,1992,Механика,Бензин + газ,Джаббор Расулов
Opel Astra G,75000,2000,Механика,Бензин + газ,Худжанд
Opel Astra G,54000,2000,Механика,Бензин + газ,Худжанд
Opel Astra H,65000,2005,Автомат,Бензин + газ,Худжанд
Opel Vectra B,47000,1999,Механика,Бензин + газ,Исфара
Opel Astra F,29000,1991,Механика,Бензин + газ,Худжанд
Opel Vectra B,39000,1997,Механика,Бензин,Пенджикент
Opel Astra G,58000,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,26000,1993,Механика,Бензин + газ,Леваканд (Сарбанд)
Opel Astra H,65000,2006,Механика,Бензин,Худжанд
Opel Astra F,41000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,72000,2004,Механика,Бензин,Душанбе
Opel Astra G,47000,1998,Механика,Бензин + газ,Душанбе
Opel Combo,65000,2006,Механика,Бензин + газ,Душанбе
Opel Vectra A,20000,1994,Механика,Бензин + газ,Душанбе
Opel Zafira,52000,2000,Механика,Бензин + газ,Истаравшан
Opel Astra G,48000,2000,Механика,Бензин + газ,Душанбе
Opel Combo,60000,2003,Механика,Бензин,Душанбе
Opel Vectra B,33000,1996,Механика,Бензин + газ,Джаббор Расулов
Opel Vectra B,37000,1998,Автомат,Бензин + газ,Душанбе
Opel Astra G,38000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,25000,1992,Механика,Бензин,Пенджикент
Opel Astra J,70000,2000,Автомат,Бензин + газ,Душанбе
Opel Astra F,16000,1995,Механика,Бензин,Таджикабад
Opel Astra H,59000,2008,Автомат,Бензин,Худжанд
Opel Astra G,65000,2008,Механика,Бензин + газ,Гиссар
Opel Astra F,28000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1998,Механика,Бензин + газ,Худжанд
Opel Astra F,16000,1995,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra F,33999,1994,Механика,Газ,Канибадам
Opel Astra G,62000,1998,Механика,Бензин,Вахдат
Opel Astra F,35000,1995,Механика,Бензин + газ,Вахдат
Opel Astra G,59999,1999,Механика,Бензин,Вахдат
Opel Vectra A,13000,1995,Механика,Бензин,Худжанд
Opel Astra G,45000,1998,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,55000,2000,Механика,Бензин + газ,Восе
Opel Astra F,40000,1995,Механика,Бензин + газ,Пенджикент
Opel Astra H,65000,2006,Механика,Бензин,Пенджикент
Opel Zafira,65000,2001,Автомат,Бензин,Душанбе
Opel Vectra A,19990,1992,Механика,Бензин + газ,Худжанд
Opel Vectra B,33000,1996,Механика,Бензин + газ,Пенджикент
Opel Vectra B,53000,2001,Механика,Бензин,Душанбе
Opel Astra H,53000,2004,Механика,Бензин + газ,Истаравшан
